"Note","Dezimal","Prozent (Schwelle ab)","Prozentbereich (ca.)"
"1","1.00","95","95–100%"
"1−","1.25","90","91–94%"
"1−2","1.50","85","86–90%"
"2+","1.75","80","81–85%"
"2","2.00","75","76–80%"
"2−","2.25","70","71–75%"
"2−3","2.50","65","66–70%"
"3+","2.75","60","61–65%"
"3","3.00","55","56–60%"
"3−","3.25","50","51–55%"
"3−4","3.50","45","46–50%"
"4+","3.75","40","41–45%"
"4","4.00","35","36–40%"
"4−","4.25","30","31–35%"
"4−5","4.50","25","26–30%"
"5+","4.75","20","21–25%"
"5","5.00","15","16–20%"
"5−","5.25","10","11–15%"
"5−6","5.50","5","6–10%"
"6","6.00","0","0–5%"